# Frequency (eV) 	 Current Real 	 Imaginary
0	-0.0033425	0
0.000367493	-0.00334247	-0.000289594
0.000734986	-0.00334241	-0.000579188
0.00110248	-0.0033423	-0.000868782
0.00146997	-0.00334215	-0.00115838
0.00183747	-0.00334195	-0.00144797
0.00220496	-0.00334171	-0.00173756
0.00257245	-0.00334142	-0.00202716
0.00293995	-0.00334109	-0.00231675
0.00330744	-0.00334072	-0.00260635
0.00367493	-0.00334031	-0.00289595
0.00404243	-0.00333985	-0.00318554
0.00440992	-0.00333935	-0.00347514
0.00477741	-0.00333881	-0.00376474
0.00514491	-0.00333823	-0.00405434
0.0055124	-0.0033376	-0.00434394
0.00587989	-0.00333694	-0.00463354
0.00624738	-0.00333623	-0.00492314
0.00661488	-0.00333548	-0.00521275
0.00698237	-0.00333469	-0.00550235
0.00734986	-0.00333386	-0.00579196
0.00771736	-0.00333299	-0.00608157
0.00808485	-0.00333208	-0.00637118
0.00845234	-0.00333114	-0.00666079
0.00881984	-0.00333015	-0.00695041
0.00918733	-0.00332913	-0.00724003
0.00955482	-0.00332807	-0.00752965
0.00992232	-0.00332698	-0.00781927
0.0102898	-0.00332584	-0.0081089
0.0106573	-0.00332468	-0.00839853
0.0110248	-0.00332347	-0.00868817
0.0113923	-0.00332224	-0.00897781
0.0117598	-0.00332097	-0.00926746
0.0121273	-0.00331966	-0.00955711
0.0124948	-0.00331833	-0.00984676
0.0128623	-0.00331696	-0.0101364
0.0132298	-0.00331556	-0.0104261
0.0135972	-0.00331413	-0.0107158
0.0139647	-0.00331267	-0.0110055
0.0143322	-0.00331118	-0.0112951
0.0146997	-0.00330966	-0.0115848
0.0150672	-0.00330812	-0.0118746
0.0154347	-0.00330655	-0.0121643
0.0158022	-0.00330495	-0.012454
0.0161697	-0.00330332	-0.0127437
0.0165372	-0.00330167	-0.0130335
0.0169047	-0.0033	-0.0133233
0.0172722	-0.0032983	-0.013613
0.0176397	-0.00329659	-0.0139028
0.0180072	-0.00329484	-0.0141926
0.0183747	-0.00329308	-0.0144824
0.0187422	-0.0032913	-0.0147723
0.0191096	-0.0032895	-0.0150621
0.0194771	-0.00328768	-0.015352
0.0198446	-0.00328584	-0.0156419
0.0202121	-0.00328398	-0.0159318
0.0205796	-0.00328211	-0.0162217
0.0209471	-0.00328022	-0.0165117
0.0213146	-0.00327832	-0.0168016
0.0216821	-0.0032764	-0.0170916
0.0220496	-0.00327447	-0.0173816
0.0224171	-0.00327252	-0.0176717
0.0227846	-0.00327057	-0.0179618
0.0231521	-0.0032686	-0.0182518
0.0235196	-0.00326662	-0.018542
0.0238871	-0.00326464	-0.0188321
0.0242546	-0.00326264	-0.0191223
0.024622	-0.00326064	-0.0194125
0.0249895	-0.00325862	-0.0197028
0.025357	-0.0032566	-0.0199931
0.0257245	-0.00325458	-0.0202834
0.026092	-0.00325255	-0.0205737
0.0264595	-0.00325051	-0.0208641
0.026827	-0.00324847	-0.0211546
0.0271945	-0.00324642	-0.021445
0.027562	-0.00324437	-0.0217355
0.0279295	-0.00324232	-0.0220261
0.028297	-0.00324027	-0.0223167
0.0286645	-0.00323822	-0.0226074
0.029032	-0.00323616	-0.0228981
0.0293995	-0.00323411	-0.0231888
0.029767	-0.00323205	-0.0234796
0.0301344	-0.00323	-0.0237705
0.0305019	-0.00322794	-0.0240614
0.0308694	-0.00322589	-0.0243524
0.0312369	-0.00322384	-0.0246434
0.0316044	-0.00322179	-0.0249345
0.0319719	-0.00321975	-0.0252256
0.0323394	-0.00321771	-0.0255168
0.0327069	-0.00321567	-0.0258081
0.0330744	-0.00321363	-0.0260994
0.0334419	-0.0032116	-0.0263908
0.0338094	-0.00320957	-0.0266823
0.0341769	-0.00320755	-0.0269739
0.0345444	-0.00320553	-0.0272655
0.0349119	-0.00320352	-0.0275572
0.0352793	-0.00320151	-0.0278489
0.0356468	-0.00319951	-0.0281408
0.0360143	-0.00319751	-0.0284327
0.0363818	-0.00319551	-0.0287247
0.0367493	-0.00319353	-0.0290168
0.0371168	-0.00319154	-0.029309
0.0374843	-0.00318957	-0.0296013
0.0378518	-0.00318759	-0.0298936
0.0382193	-0.00318563	-0.0301861
0.0385868	-0.00318366	-0.0304786
0.0389543	-0.00318171	-0.0307713
0.0393218	-0.00317975	-0.031064
0.0396893	-0.0031778	-0.0313568
0.0400568	-0.00317586	-0.0316498
0.0404243	-0.00317392	-0.0319428
0.0407917	-0.00317198	-0.032236
0.0411592	-0.00317005	-0.0325292
0.0415267	-0.00316812	-0.0328226
0.0418942	-0.00316619	-0.033116
0.0422617	-0.00316426	-0.0334096
0.0426292	-0.00316234	-0.0337033
0.0429967	-0.00316041	-0.0339971
0.0433642	-0.00315849	-0.034291
0.0437317	-0.00315657	-0.0345851
0.0440992	-0.00315464	-0.0348793
0.0444667	-0.00315272	-0.0351736
0.0448342	-0.00315079	-0.035468
0.0452017	-0.00314886	-0.0357625
0.0455692	-0.00314693	-0.0360572
0.0459367	-0.00314499	-0.036352
0.0463041	-0.00314305	-0.036647
0.0466716	-0.0031411	-0.036942
0.0470391	-0.00313915	-0.0372373
0.0474066	-0.00313719	-0.0375326
0.0477741	-0.00313522	-0.0378281
0.0481416	-0.00313324	-0.0381237
0.0485091	-0.00313125	-0.0384195
0.0488766	-0.00312925	-0.0387154
0.0492441	-0.00312724	-0.0390115
0.0496116	-0.00312521	-0.0393077
0.0499791	-0.00312317	-0.0396041
0.0503466	-0.00312112	-0.0399006
0.0507141	-0.00311904	-0.0401973
0.0510816	-0.00311695	-0.0404942
0.0514491	-0.00311484	-0.0407912
0.0518165	-0.00311271	-0.0410883
0.052184	-0.00311056	-0.0413856
0.0525515	-0.00310839	-0.0416831
0.052919	-0.00310619	-0.0419807
0.0532865	-0.00310396	-0.0422785
0.053654	-0.00310171	-0.0425765
0.0540215	-0.00309943	-0.0428747
0.054389	-0.00309712	-0.043173
0.0547565	-0.00309478	-0.0434715
0.055124	-0.00309241	-0.0437701
0.0554915	-0.00309	-0.0440689
0.055859	-0.00308756	-0.0443679
0.0562265	-0.00308508	-0.0446671
0.056594	-0.00308256	-0.0449665
0.0569614	-0.00308001	-0.045266
0.0573289	-0.00307741	-0.0455657
0.0576964	-0.00307476	-0.0458656
0.0580639	-0.00307207	-0.0461657
0.0584314	-0.00306934	-0.046466
0.0587989	-0.00306656	-0.0467665
0.0591664	-0.00306372	-0.0470671
0.0595339	-0.00306084	-0.0473679
0.0599014	-0.0030579	-0.0476689
0.0602689	-0.00305491	-0.0479701
0.0606364	-0.00305186	-0.0482715
0.0610039	-0.00304875	-0.0485731
0.0613714	-0.00304558	-0.0488749
0.0617389	-0.00304235	-0.0491768
0.0621064	-0.00303906	-0.049479
0.0624738	-0.0030357	-0.0497814
0.0628413	-0.00303227	-0.0500839
0.0632088	-0.00302878	-0.0503867
0.0635763	-0.00302521	-0.0506896
0.0639438	-0.00302158	-0.0509927
0.0643113	-0.00301787	-0.0512961
0.0646788	-0.00301408	-0.0515996
0.0650463	-0.00301021	-0.0519033
0.0654138	-0.00300627	-0.0522073
0.0657813	-0.00300224	-0.0525114
0.0661488	-0.00299813	-0.0528157
0.0665163	-0.00299394	-0.0531202
0.0668838	-0.00298966	-0.053425
0.0672513	-0.00298529	-0.0537299
0.0676188	-0.00298083	-0.054035
0.0679862	-0.00297628	-0.0543403
0.0683537	-0.00297164	-0.0546459
0.0687212	-0.0029669	-0.0549516
0.0690887	-0.00296206	-0.0552575
0.0694562	-0.00295713	-0.0555636
0.0698237	-0.0029521	-0.05587
0.0701912	-0.00294696	-0.0561765
0.0705587	-0.00294172	-0.0564832
0.0709262	-0.00293637	-0.0567902
0.0712937	-0.00293092	-0.0570973
0.0716612	-0.00292536	-0.0574046
0.0720287	-0.00291968	-0.0577122
0.0723962	-0.0029139	-0.0580199
0.0727637	-0.002908	-0.0583278
0.0731312	-0.00290199	-0.0586359
0.0734986	-0.00289586	-0.0589443
0.0738661	-0.00288961	-0.0592528
0.0742336	-0.00288324	-0.0595615
0.0746011	-0.00287675	-0.0598705
0.0749686	-0.00287014	-0.0601796
0.0753361	-0.00286341	-0.0604889
0.0757036	-0.00285655	-0.0607984
0.0760711	-0.00284956	-0.0611081
0.0764386	-0.00284245	-0.061418
0.0768061	-0.0028352	-0.0617281
0.0771736	-0.00282783	-0.0620384
0.0775411	-0.00282032	-0.0623489
0.0779086	-0.00281268	-0.0626595
0.0782761	-0.00280491	-0.0629704
0.0786435	-0.002797	-0.0632815
0.079011	-0.00278895	-0.0635927
0.0793785	-0.00278076	-0.0639041
0.079746	-0.00277244	-0.0642158
0.0801135	-0.00276398	-0.0645276
0.080481	-0.00275537	-0.0648396
0.0808485	-0.00274663	-0.0651517
0.081216	-0.00273774	-0.0654641
0.0815835	-0.00272871	-0.0657766
0.081951	-0.00271953	-0.0660894
0.0823185	-0.00271021	-0.0664023
0.082686	-0.00270074	-0.0667154
0.0830535	-0.00269112	-0.0670286
0.083421	-0.00268136	-0.0673421
0.0837885	-0.00267145	-0.0676557
0.0841559	-0.00266139	-0.0679695
0.0845234	-0.00265118	-0.0682835
0.0848909	-0.00264082	-0.0685976
0.0852584	-0.0026303	-0.068912
0.0856259	-0.00261964	-0.0692265
0.0859934	-0.00260883	-0.0695411
0.0863609	-0.00259787	-0.0698559
0.0867284	-0.00258675	-0.0701709
0.0870959	-0.00257548	-0.0704861
0.0874634	-0.00256406	-0.0708014
0.0878309	-0.00255248	-0.0711169
0.0881984	-0.00254075	-0.0714326
0.0885659	-0.00252887	-0.0717484
