# Frequency (eV) 	 Current Real 	 Imaginary
0.0591664	-0.00202548	-0.0493031
0.0595339	-0.00201011	-0.0496094
0.0599014	-0.00199471	-0.0499158
0.0602689	-0.0019793	-0.0502222
0.0606364	-0.00196386	-0.0505287
0.0610039	-0.00194841	-0.0508353
0.0613714	-0.00193294	-0.0511418
0.0617389	-0.00191746	-0.0514485
0.0621064	-0.00190196	-0.0517552
0.0624738	-0.00188644	-0.052062
0.0628413	-0.00187091	-0.0523688
0.0632088	-0.00185537	-0.0526757
0.0635763	-0.00183981	-0.0529827
0.0639438	-0.00182424	-0.0532897
0.0643113	-0.00180866	-0.0535968
0.0646788	-0.00179306	-0.053904
0.0650463	-0.00177745	-0.0542112
0.0654138	-0.00176184	-0.0545186
0.0657813	-0.00174621	-0.054826
0.0661488	-0.00173057	-0.0551335
0.0665163	-0.00171492	-0.055441
0.0668838	-0.00169926	-0.0557487
0.0672513	-0.0016836	-0.0560564
0.0676188	-0.00166792	-0.0563642
0.0679862	-0.00165224	-0.0566721
0.0683537	-0.00163655	-0.0569801
0.0687212	-0.00162085	-0.0572882
0.0690887	-0.00160515	-0.0575963
0.0694562	-0.00158943	-0.0579046
0.0698237	-0.00157372	-0.058213
0.0701912	-0.00155799	-0.0585214
0.0705587	-0.00154226	-0.05883
0.0709262	-0.00152652	-0.0591387
0.0712937	-0.00151078	-0.0594474
0.0716612	-0.00149503	-0.0597563
0.0720287	-0.00147928	-0.0600653
0.0723962	-0.00146352	-0.0603744
0.0727637	-0.00144776	-0.0606836
0.0731312	-0.00143199	-0.0609929
0.0734986	-0.00141622	-0.0613023
0.0738661	-0.00140044	-0.0616119
0.0742336	-0.00138466	-0.0619215
0.0746011	-0.00136887	-0.0622313
0.0749686	-0.00135308	-0.0625412
0.0753361	-0.00133729	-0.0628513
0.0757036	-0.00132149	-0.0631614
0.0760711	-0.00130568	-0.0634717
0.0764386	-0.00128988	-0.0637821
0.0768061	-0.00127406	-0.0640927
0.0771736	-0.00125824	-0.0644034
