# time, current_x, A_x total (ext + induced)
0	0.316932	-0.01
0.01	0.316897	-0.00999981
0.02	0.316793	-0.00999925
0.03	0.316624	-0.0099983
0.04	0.316393	-0.00999698
0.05	0.316107	-0.00999528
0.06	0.315773	-0.00999321
0.07	0.315394	-0.00999076
0.08	0.314977	-0.00998793
0.09	0.314525	-0.00998473
0.1	0.314038	-0.00998116
0.11	0.313518	-0.00997721
0.12	0.312965	-0.00997288
0.13	0.312377	-0.00996819
0.14	0.311753	-0.00996312
0.15	0.311095	-0.00995768
0.16	0.310402	-0.00995187
0.17	0.309676	-0.00994569
0.18	0.30892	-0.00993914
0.19	0.308137	-0.00993222
0.2	0.307331	-0.00992494
0.21	0.306504	-0.00991729
0.22	0.305661	-0.00990928
0.23	0.304802	-0.0099009
0.24	0.303928	-0.00989215
0.25	0.303041	-0.00988305
0.26	0.302139	-0.00987359
0.27	0.301221	-0.00986376
0.28	0.300286	-0.00985358
0.29	0.299331	-0.00984304
0.3	0.298355	-0.00983214
0.31	0.297357	-0.00982088
0.32	0.296338	-0.00980928
0.33	0.295298	-0.00979732
0.34	0.294238	-0.009785
0.35	0.293161	-0.00977234
0.36	0.292068	-0.00975933
0.37	0.290962	-0.00974597
0.38	0.289848	-0.00973226
0.39	0.288727	-0.00971821
0.4	0.287604	-0.00970382
0.41	0.28648	-0.00968908
0.42	0.285357	-0.009674
0.43	0.28424	-0.00965858
0.44	0.283128	-0.00964282
0.45	0.282024	-0.00962673
0.46	0.280928	-0.0096103
0.47	0.279841	-0.00959353
0.48	0.278765	-0.00957643
0.49	0.277699	-0.009559
0.5	0.276644	-0.00954124
0.51	0.275599	-0.00952315
0.52	0.274565	-0.00950473
0.53	0.273541	-0.00948598
0.54	0.272527	-0.00946691
0.55	0.271523	-0.00944751
0.56	0.270527	-0.00942779
0.57	0.269539	-0.00940775
0.58	0.268559	-0.00938738
0.59	0.267586	-0.0093667
0.6	0.266617	-0.0093457
0.61	0.265654	-0.00932438
0.62	0.264694	-0.00930274
0.63	0.263737	-0.00928079
0.64	0.262782	-0.00925852
0.65	0.261828	-0.00923594
0.66	0.260874	-0.00921305
0.67	0.25992	-0.00918985
0.68	0.258965	-0.00916634
0.69	0.258009	-0.00914252
0.7	0.257052	-0.00911839
0.71	0.256091	-0.00909396
0.72	0.255128	-0.00906922
0.73	0.254162	-0.00904418
0.74	0.253192	-0.00901884
0.75	0.252219	-0.00899319
0.76	0.25124	-0.00896724
0.77	0.250256	-0.008941
0.78	0.249267	-0.00891445
0.79	0.248272	-0.00888761
0.8	0.24727	-0.00886047
0.81	0.246261	-0.00883304
0.82	0.245245	-0.00880532
0.83	0.24422	-0.0087773
0.84	0.243187	-0.00874899
0.85	0.242145	-0.0087204
0.86	0.241094	-0.00869151
0.87	0.240033	-0.00866234
0.88	0.238962	-0.00863288
0.89	0.237881	-0.00860313
0.9	0.236789	-0.00857311
0.91	0.235686	-0.0085428
0.92	0.234572	-0.00851221
0.93	0.233446	-0.00848134
0.94	0.232309	-0.00845019
0.95	0.23116	-0.00841877
0.96	0.23	-0.00838707
0.97	0.228827	-0.0083551
0.98	0.227642	-0.00832285
0.99	0.226446	-0.00829033
1	0.225237	-0.00825755
1.01	0.224016	-0.00822449
1.02	0.222784	-0.00819117
1.03	0.221539	-0.00815758
1.04	0.220283	-0.00812373
1.05	0.219016	-0.00808962
1.06	0.217738	-0.00805524
1.07	0.216448	-0.00802061
1.08	0.215148	-0.00798572
1.09	0.213837	-0.00795057
1.1	0.212516	-0.00791517
1.11	0.211184	-0.00787951
1.12	0.209843	-0.0078436
1.13	0.208492	-0.00780745
1.14	0.207132	-0.00777104
1.15	0.205763	-0.00773439
1.16	0.204385	-0.00769749
1.17	0.202998	-0.00766035
1.18	0.201603	-0.00762297
1.19	0.200199	-0.00758535
1.2	0.198788	-0.00754749
1.21	0.197369	-0.00750939
1.22	0.195942	-0.00747105
1.23	0.194508	-0.00743249
1.24	0.193067	-0.00739369
1.25	0.191619	-0.00735466
1.26	0.190165	-0.00731541
1.27	0.188703	-0.00727592
1.28	0.187236	-0.00723621
1.29	0.185762	-0.00719628
1.3	0.184282	-0.00715613
1.31	0.182796	-0.00711576
1.32	0.181305	-0.00707517
1.33	0.179807	-0.00703437
1.34	0.178305	-0.00699335
1.35	0.176796	-0.00695212
1.36	0.175283	-0.00691067
1.37	0.173764	-0.00686902
1.38	0.17224	-0.00682716
1.39	0.170711	-0.0067851
1.4	0.169176	-0.00674283
1.41	0.167637	-0.00670037
1.42	0.166093	-0.0066577
1.43	0.164545	-0.00661483
1.44	0.162992	-0.00657177
1.45	0.161434	-0.00652851
1.46	0.159871	-0.00648507
1.47	0.158304	-0.00644143
1.48	0.156733	-0.0063976
1.49	0.155157	-0.00635359
1.5	0.153577	-0.00630939
1.51	0.151992	-0.00626501
1.52	0.150403	-0.00622044
1.53	0.14881	-0.0061757
1.54	0.147213	-0.00613078
1.55	0.145612	-0.00608569
1.56	0.144007	-0.00604042
1.57	0.142397	-0.00599498
1.58	0.140784	-0.00594937
1.59	0.139166	-0.0059036
1.6	0.137545	-0.00585766
1.61	0.13592	-0.00581155
1.62	0.134291	-0.00576528
1.63	0.132659	-0.00571885
1.64	0.131023	-0.00567227
1.65	0.129383	-0.00562552
1.66	0.127739	-0.00557863
1.67	0.126092	-0.00553158
1.68	0.124442	-0.00548438
1.69	0.122788	-0.00543703
1.7	0.12113	-0.00538954
1.71	0.11947	-0.0053419
1.72	0.117806	-0.00529412
1.73	0.116139	-0.0052462
