# Frequency (eV) 	 Current Real 	 Imaginary
0	-0.21909	0
0.000367493	-0.219062	-0.00379419
0.000734986	-0.218977	-0.00758759
0.00110248	-0.218835	-0.0113794
0.00146997	-0.218636	-0.0151688
0.00183747	-0.21838	-0.0189551
0.00220496	-0.218068	-0.0227373
0.00257245	-0.217699	-0.0265148
0.00293995	-0.217273	-0.0302868
0.00330744	-0.216791	-0.0340523
0.00367493	-0.216252	-0.0378107
0.00404243	-0.215656	-0.0415611
0.00440992	-0.215004	-0.0453028
0.00477741	-0.214296	-0.0490348
0.00514491	-0.213531	-0.0527564
0.0055124	-0.21271	-0.0564668
0.00587989	-0.211833	-0.0601652
0.00624738	-0.210899	-0.0638507
0.00661488	-0.20991	-0.0675226
0.00698237	-0.208865	-0.0711799
0.00734986	-0.207764	-0.0748219
0.00771736	-0.206608	-0.0784478
0.00808485	-0.205396	-0.0820566
0.00845234	-0.204128	-0.0856476
0.00881984	-0.202806	-0.0892199
0.00918733	-0.201428	-0.0927727
0.00955482	-0.199996	-0.0963051
0.00992232	-0.198509	-0.0998162
0.0102898	-0.196967	-0.103305
0.0106573	-0.195371	-0.106771
0.0110248	-0.193721	-0.110214
0.0113923	-0.192017	-0.113631
0.0117598	-0.19026	-0.117023
0.0121273	-0.188449	-0.120388
0.0124948	-0.186585	-0.123726
0.0128623	-0.184668	-0.127036
0.0132298	-0.182699	-0.130317
0.0135972	-0.180677	-0.133568
0.0139647	-0.178603	-0.136787
0.0143322	-0.176478	-0.139975
0.0146997	-0.174302	-0.143131
0.0150672	-0.172074	-0.146252
0.0154347	-0.169796	-0.149339
0.0158022	-0.167468	-0.152391
0.0161697	-0.16509	-0.155406
0.0165372	-0.162663	-0.158384
0.0169047	-0.160186	-0.161323
0.0172722	-0.157662	-0.164224
0.0176397	-0.155089	-0.167084
0.0180072	-0.152469	-0.169903
0.0183747	-0.149802	-0.172681
0.0187422	-0.147088	-0.175416
0.0191096	-0.144328	-0.178107
0.0194771	-0.141524	-0.180753
0.0198446	-0.138674	-0.183353
0.0202121	-0.13578	-0.185907
0.0205796	-0.132843	-0.188414
0.0209471	-0.129862	-0.190872
0.0213146	-0.12684	-0.193282
0.0216821	-0.123776	-0.19564
0.0220496	-0.120671	-0.197948
0.0224171	-0.117526	-0.200204
0.0227846	-0.114342	-0.202407
0.0231521	-0.111119	-0.204556
0.0235196	-0.107858	-0.206651
0.0238871	-0.104561	-0.20869
0.0242546	-0.101227	-0.210673
0.024622	-0.0978582	-0.212599
0.0249895	-0.0944549	-0.214466
0.025357	-0.0910181	-0.216275
0.0257245	-0.0875488	-0.218023
0.026092	-0.0840479	-0.219712
0.0264595	-0.0805165	-0.221339
0.026827	-0.0769554	-0.222903
0.0271945	-0.0733657	-0.224405
0.027562	-0.0697486	-0.225843
0.0279295	-0.066105	-0.227217
0.028297	-0.062436	-0.228525
0.0286645	-0.0587428	-0.229767
0.029032	-0.0550264	-0.230943
0.0293995	-0.0512882	-0.232052
0.029767	-0.0475291	-0.233092
0.0301344	-0.0437505	-0.234064
0.0305019	-0.0399536	-0.234967
0.0308694	-0.0361396	-0.235799
0.0312369	-0.0323098	-0.236561
0.0316044	-0.0284654	-0.237252
0.0319719	-0.0246079	-0.237872
0.0323394	-0.0207384	-0.238419
0.0327069	-0.0168585	-0.238894
0.0330744	-0.0129694	-0.239295
0.0334419	-0.00907251	-0.239623
0.0338094	-0.00516931	-0.239877
0.0341769	-0.00126119	-0.240057
0.0345444	0.00265041	-0.240162
0.0349119	0.006564	-0.240192
0.0352793	0.0104781	-0.240146
0.0356468	0.0143913	-0.240025
0.0360143	0.0183019	-0.239827
0.0363818	0.0222086	-0.239554
0.0367493	0.0261096	-0.239204
0.0371168	0.0300036	-0.238777
0.0374843	0.0338889	-0.238274
0.0378518	0.0377639	-0.237695
0.0382193	0.041627	-0.237038
0.0385868	0.0454766	-0.236304
0.0389543	0.0493112	-0.235494
0.0393218	0.053129	-0.234607
0.0396893	0.0569285	-0.233643
0.0400568	0.060708	-0.232603
0.0404243	0.0644659	-0.231486
0.0407917	0.0682005	-0.230293
0.0411592	0.0719101	-0.229024
0.0415267	0.0755931	-0.227679
0.0418942	0.0792479	-0.226259
0.0422617	0.0828726	-0.224764
0.0426292	0.0864658	-0.223194
0.0429967	0.0900256	-0.22155
0.0433642	0.0935505	-0.219832
0.0437317	0.0970388	-0.21804
0.0440992	0.100489	-0.216176
0.0444667	0.103899	-0.21424
0.0448342	0.107267	-0.212232
0.0452017	0.110592	-0.210153
0.0455692	0.113873	-0.208005
0.0459367	0.117106	-0.205787
0.0463041	0.120292	-0.2035
0.0466716	0.123427	-0.201145
0.0470391	0.126512	-0.198724
0.0474066	0.129543	-0.196236
0.0477741	0.13252	-0.193684
0.0481416	0.13544	-0.191067
0.0485091	0.138303	-0.188388
0.0488766	0.141107	-0.185647
0.0492441	0.14385	-0.182844
0.0496116	0.146531	-0.179983
0.0499791	0.149148	-0.177062
0.0503466	0.1517	-0.174085
0.0507141	0.154186	-0.171052
0.0510816	0.156603	-0.167964
0.0514491	0.158952	-0.164823
0.0518165	0.161229	-0.16163
0.052184	0.163435	-0.158387
0.0525515	0.165567	-0.155095
0.052919	0.167624	-0.151756
0.0532865	0.169606	-0.14837
0.053654	0.171511	-0.144941
0.0540215	0.173337	-0.141468
0.054389	0.175085	-0.137955
0.0547565	0.176752	-0.134402
0.055124	0.178337	-0.130812
0.0554915	0.17984	-0.127186
0.055859	0.181259	-0.123526
0.0562265	0.182594	-0.119833
0.056594	0.183843	-0.11611
0.0569614	0.185007	-0.112359
0.0573289	0.186083	-0.108581
0.0576964	0.187071	-0.104778
0.0580639	0.187971	-0.100952
0.0584314	0.188781	-0.0971051
0.0587989	0.189501	-0.0932396
0.0591664	0.190131	-0.0893572
0.0595339	0.19067	-0.0854601
0.0599014	0.191117	-0.0815502
