# time, current_x, A_x total (ext + induced), Energy [Ha]
4.4	-0.00245423	6.27359e-05	-33.8459
4.44	-0.00246907	6.34385e-05	-33.8459
4.48	-0.00248216	6.4094e-05	-33.8459
4.52	-0.0024935	6.47022e-05	-33.8459
4.56	-0.00250308	6.5263e-05	-33.8459
4.6	-0.00251092	6.5776e-05	-33.8459
4.64	-0.00251704	6.62411e-05	-33.8459
4.68	-0.00252146	6.66583e-05	-33.8459
4.72	-0.0025242	6.70274e-05	-33.8459
4.76	-0.0025253	6.73484e-05	-33.8459
4.8	-0.00252478	6.76213e-05	-33.8459
4.84	-0.00252269	6.78461e-05	-33.8459
4.88	-0.00251907	6.80228e-05	-33.8459
4.92	-0.00251397	6.81515e-05	-33.8459
4.96	-0.00250741	6.82323e-05	-33.8459
5	-0.00249944	6.82653e-05	-33.8459
5.04	-0.00249009	6.82506e-05	-33.8459
5.08	-0.00247938	6.81885e-05	-33.8459
5.12	-0.00246732	6.80791e-05	-33.8459
5.16	-0.00245392	6.79228e-05	-33.8459
5.2	-0.00243919	6.77196e-05	-33.8459
5.24	-0.00242313	6.747e-05	-33.8459
5.28	-0.00240572	6.71742e-05	-33.8459
5.32	-0.00238696	6.68325e-05	-33.8459
5.36	-0.00236682	6.64453e-05	-33.8459
5.4	-0.00234528	6.60131e-05	-33.8459
5.44	-0.00232231	6.55361e-05	-33.8459
5.48	-0.00229791	6.50149e-05	-33.8459
5.52	-0.00227204	6.44499e-05	-33.8459
5.56	-0.0022447	6.38415e-05	-33.8459
5.6	-0.00221587	6.31904e-05	-33.8459
5.64	-0.00218555	6.24971e-05	-33.8459
5.68	-0.00215375	6.17621e-05	-33.8459
5.72	-0.00212049	6.09861e-05	-33.8459
5.76	-0.00208579	6.01696e-05	-33.8459
5.8	-0.00204966	5.93135e-05	-33.8459
5.84	-0.00201214	5.84182e-05	-33.8459
5.88	-0.00197326	5.74846e-05	-33.8459
5.92	-0.00193306	5.65134e-05	-33.8459
5.96	-0.0018916	5.55053e-05	-33.8459
6	-0.00184892	5.44612e-05	-33.8459
6.04	-0.00180507	5.33819e-05	-33.8459
6.08	-0.00176009	5.22681e-05	-33.8459
6.12	-0.00171403	5.11208e-05	-33.8459
6.16	-0.00166694	4.99409e-05	-33.8459
6.2	-0.00161887	4.87291e-05	-33.8459
6.24	-0.00156987	4.74866e-05	-33.8459
6.28	-0.00152	4.62141e-05	-33.8459
6.32	-0.00146931	4.49126e-05	-33.8459
6.36	-0.00141783	4.35831e-05	-33.8459
6.4	-0.00136559	4.22266e-05	-33.8459
6.44	-0.00131263	4.08441e-05	-33.8459
6.48	-0.001259	3.94366e-05	-33.8459
6.52	-0.00120473	3.80051e-05	-33.8459
6.56	-0.00114987	3.65506e-05	-33.8459
6.6	-0.00109447	3.50742e-05	-33.8459
6.64	-0.00103855	3.35769e-05	-33.8459
6.68	-0.000982117	3.20599e-05	-33.8459
6.72	-0.000925198	3.05241e-05	-33.8459
6.76	-0.000867805	2.89707e-05	-33.8459
6.8	-0.000809969	2.74007e-05	-33.8459
6.84	-0.000751736	2.58153e-05	-33.8459
6.88	-0.000693152	2.42156e-05	-33.8459
6.92	-0.000634258	2.26027e-05	-33.8459
6.96	-0.000575079	2.09777e-05	-33.8459
7	-0.000515644	1.93417e-05	-33.8459
7.04	-0.000455994	1.7696e-05	-33.8459
7.08	-0.000396179	1.60415e-05	-33.8459
7.12	-0.000336255	1.43794e-05	-33.8459
7.16	-0.000276273	1.2711e-05	-33.8459
7.2	-0.000216289	1.10373e-05	-33.8459
7.24	-0.000156369	9.35945e-06	-33.8459
7.28	-9.65907e-05	7.67864e-06	-33.8459
7.32	-3.70297e-05	5.99599e-06	-33.8459
7.36	2.22546e-05	4.31263e-06	-33.8459
7.4	8.1223e-05	2.6297e-06	-33.8459
7.44	0.000139841	9.48314e-07	-33.8459
7.48	0.000198058	-7.30407e-07	-33.8459
7.52	0.000255805	-2.40535e-06	-33.8459
7.56	0.000313015	-4.07542e-06	-33.8459
7.6	0.00036965	-5.73953e-06	-33.8459
