# Frequency (eV) 	 Current Real 	 Imaginary
0.0621064	0.0103453	0.00816617
0.0624738	0.0088625	0.00944424
0.0628413	0.00723294	0.0104806
0.0632088	0.00549459	0.0112601
0.0635763	0.00368665	0.0117734
0.0639438	0.0018487	0.0120171
0.0643113	1.9885e-05	0.0119933
0.0646788	-0.00176193	0.0117098
0.0650463	-0.00346088	0.0111795
0.0654138	-0.00504385	0.0104203
0.0657813	-0.00648102	0.00945408
0.0661488	-0.00774646	0.00830671
0.0665163	-0.00881854	0.007007
0.0668838	-0.00968026	0.00558617
0.0672513	-0.0103195	0.00407709
0.0676188	-0.010729	0.00251356
0.0679862	-0.0109068	0.0009296
0.0683537	-0.0108554	-0.000641325
0.0687212	-0.0105823	-0.00216694
0.0690887	-0.0100995	-0.0036168
0.0694562	-0.00942263	-0.00496293
0.0698237	-0.00857132	-0.00618027
0.0701912	-0.00756808	-0.00724714
0.0705587	-0.00643802	-0.00814563
0.0709262	-0.00520816	-0.0088618
0.0712937	-0.00390683	-0.00938592
0.0716612	-0.00256306	-0.00971251
0.0720287	-0.00120596	-0.00984038
0.0723962	0.000135925	-0.00977246
0.0727637	0.00143517	-0.00951569
0.0731312	0.00266599	-0.00908073
0.0734986	0.00380477	-0.00848164
0.0738661	0.00483045	-0.00773547
0.0742336	0.00572491	-0.00686186
0.0746011	0.00647326	-0.00588253
0.0749686	0.00706407	-0.00482077
0.0753361	0.00748947	-0.00370093
0.0757036	0.00774524	-0.00254788
0.0760711	0.00783079	-0.00138647
0.0764386	0.00774908	-0.00024104
0.0768061	0.0075064	0.000865098
0.0771736	0.00711223	0.00191008
0.0775411	0.00657889	0.00287394
0.0779086	0.00592123	0.0037389
0.0782761	0.00515626	0.00448974
0.0786435	0.00430273	0.00511403
0.079011	0.00338067	0.00560225
0.0793785	0.002411	0.00594798
0.079746	0.00141503	0.00614789
0.0801135	0.000414023	0.00620175
0.080481	-0.00057123	0.00611233
0.0808485	-0.00152083	0.00588527
0.081216	-0.00241615	0.0055289
0.0815835	-0.00324018	0.00505395
0.081951	-0.00397784	0.00447333
0.0823185	-0.00461622	0.00380175
0.082686	-0.00514478	0.0030554
0.0830535	-0.00555555	0.00225157
0.083421	-0.00584314	0.00140827
0.0837885	-0.00600486	0.000543858
0.0841559	-0.00604066	-0.000323377
0.0845234	-0.00595307	-0.00117555
0.0848909	-0.00574709	-0.00199556
0.0852584	-0.00543	-0.00276739
0.0856259	-0.0050112	-0.00347643
0.0859934	-0.0045019	-0.00410973
0.0863609	-0.00391491	-0.00465622
